source_file_id,issuer_folder_ticker,issuer_expected_name,issuer_assignment_status,issuer_assignment_evidence,source_drive_file_id,source_drive_parent_id,source_path_raw,source_folder_year_raw,source_filename_raw,mime_type,file_size_bytes,created_time_raw,modified_time_raw,source_url,sha256,hash_status,binary_duplicate_group_id,version_relation_status,version_of_source_file_id,supersedes_source_file_id,period_label_filename_raw,economic_period_status,period_start,period_end,period_type_raw,document_type_status,document_type_raw,pdf_text_layer_status,page_count,metadata_title_raw,metadata_author_raw,metadata_mismatch_status,first_seen_at,last_seen_at,source_status,notes
DRIVE:1Ro2XM1WHUSc2knXYrqe5GU66tXVqMABr,BICC,BICICI,VALIDATED,FOLDER_AND_VISIBLE_CONTENT_CONSISTENT,1Ro2XM1WHUSc2knXYrqe5GU66tXVqMABr,1E2cQehxmHCdZMzMJ9hvIk1WHWVfIBkPM,BICICI - BICC/2022/bilan_et_compte_de_resultat_bicici_31_12_2022_.pdf,2022,bilan_et_compte_de_resultat_bicici_31_12_2022_.pdf,application/pdf,468571,2026-08-09T02:27:04.928Z,2026-03-23T19:51:33Z,https://drive.google.com/file/d/1Ro2XM1WHUSc2knXYrqe5GU66tXVqMABr,,NOT_COMPUTED,,NOT_REVIEWED,,,2022,CONTENT_RESOLVED,2022-01-01,2022-12-31,ANNUAL,VERIFIED,FINANCIAL_STATEMENTS,NATIVE_TEXT,1,,,NOT_REVIEWED,,,ACTIVE_SOURCE,"Rendered/verified in P1-R; balance/hors-balance/result; millions FCFA"
DRIVE:1FVWVJUyuixp-AmhsUMp4flMfQE9APELs,BIIC,BIIC Bénin,VALIDATED,FOLDER_AND_VISIBLE_CONTENT_CONSISTENT,1FVWVJUyuixp-AmhsUMp4flMfQE9APELs,13zmnEVIj_BgDXjSUEjKeuDadBlHrxtdd,BIIC Bénin - BIIC/2025/2025_Rapport_T2_BIIC.pdf,2025,2025_Rapport_T2_BIIC.pdf,application/pdf,142825,2026-08-09T02:27:52.752Z,2026-03-23T19:54:27Z,https://drive.google.com/file/d/1FVWVJUyuixp-AmhsUMp4flMfQE9APELs,,NOT_COMPUTED,,NOT_REVIEWED,,,2025_T2,CONTENT_RESOLVED,2025-01-01,2025-06-30,T2,VERIFIED,ACTIVITY_REPORT,NATIVE_TEXT,2,20251029_-_rapport_dactivites_-_3eme_trimestre_2025_-_societe_generale_ci.pdf,,CONFIRMED,,,ACTIVE_SOURCE,"Visible content says DEUXIEME TRIMESTRE 2025; internal metadata title conflicts and is preserved"
DRIVE:1sIl2VvXcjKZA2CFM-9bwGO6EQB-uqX9c,SNTS,Sonatel Sénégal,REVIEW_REQUIRED,FILENAME_ONATEL_CONFLICTS_WITH_SNTS_FOLDER,1sIl2VvXcjKZA2CFM-9bwGO6EQB-uqX9c,1eblzvXXSOthymNn1yilXfjTT2v3fjPa6,Sonatel Sénégal - SNTS/2017/20170721-resultats_au_premier_semestre_2017_onatel-sa_1.pdf,2017,20170721-resultats_au_premier_semestre_2017_onatel-sa_1.pdf,application/pdf,,,,https://drive.google.com/file/d/1sIl2VvXcjKZA2CFM-9bwGO6EQB-uqX9c,,NOT_COMPUTED,,NOT_REVIEWED,,,2017_S1,FILENAME_ONLY,,,S1,NOT_REVIEWED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,REVIEW_REQUIRED,"Physical folder is SNTS but filename identifies ONATEL; preserve source and review issuer assignment"
DRIVE:1ymmkYSeTNZyjbaB8kOsvjSwQE6520Mkk,BIIC,BIIC Bénin,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1ymmkYSeTNZyjbaB8kOsvjSwQE6520Mkk,13zmnEVIj_BgDXjSUEjKeuDadBlHrxtdd,BIIC Bénin - BIIC/2025/2025_Rapport_T3_BIIC.pdf,2025,2025_Rapport_T3_BIIC.pdf,application/pdf,148567,2026-08-09T02:27:53.130Z,2026-03-23T19:54:28Z,https://drive.google.com/file/d/1ymmkYSeTNZyjbaB8kOsvjSwQE6520Mkk,,NOT_COMPUTED,,NOT_REVIEWED,,,2025_T3,FILENAME_ONLY,,,T3,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed; period and document type from filename only
DRIVE:1rSBaP9kva7QaLcWI8VdhH-YV1TG1b4hs,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1rSBaP9kva7QaLcWI8VdhH-YV1TG1b4hs,1OfP3AVXFakbnXkg3F-eE50lwxTDI8YGU,Tritraf Côte d'Ivoire - TRITRAF/1998/1998_Rapport_Annuel_TRITRAF.pdf,1998,1998_Rapport_Annuel_TRITRAF.pdf,application/pdf,1380865,2026-08-09T02:06:11.735Z,2026-03-23T21:19:47Z,https://drive.google.com/file/d/1rSBaP9kva7QaLcWI8VdhH-YV1TG1b4hs,7dc7a5424de359dbdc4c0a1b5f62f618fbd91013110851b2deab402035a2a314,COMPUTED,,NOT_REVIEWED,,,1998,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1JK20AneRRLFSfWUd10C6oEFBRvcsMYal,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1JK20AneRRLFSfWUd10C6oEFBRvcsMYal,1RHvkvKRmriqWlEmasJl7efFJ0YZwaLIc,Tritraf Côte d'Ivoire - TRITRAF/1999/1999_Rapport_Annuel_TRITRAF.pdf,1999,1999_Rapport_Annuel_TRITRAF.pdf,application/pdf,2458963,2026-08-09T02:06:16.313Z,2026-03-23T21:19:50Z,https://drive.google.com/file/d/1JK20AneRRLFSfWUd10C6oEFBRvcsMYal,4752882d212eebdd0dd3d29bbaa1d8fcbf501d9977449add625757112767793d,COMPUTED,,NOT_REVIEWED,,,1999,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1-4FLmpI1FBWYC2Cshvnb9ROhCHRbr7iN,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1-4FLmpI1FBWYC2Cshvnb9ROhCHRbr7iN,1ODlYLtxFGRLVTigrKw2VVEJw_hS-iG5K,Tritraf Côte d'Ivoire - TRITRAF/2000/2000_Rapport_Annuel_TRITRAF.pdf,2000,2000_Rapport_Annuel_TRITRAF.pdf,application/pdf,2807417,2026-08-09T02:06:18.336Z,2026-03-23T21:19:52Z,https://drive.google.com/file/d/1-4FLmpI1FBWYC2Cshvnb9ROhCHRbr7iN,3380d62599705c23407501b9a6895d5902689b354599317f9c88232c8e245645,COMPUTED,,NOT_REVIEWED,,,2000,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1kcS9ZID7RaWJUrGaYkkC7PE_jdwsEEgI,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1kcS9ZID7RaWJUrGaYkkC7PE_jdwsEEgI,1P58YY41_oFWKjB7b9RDNunFt26VAlbJq,Tritraf Côte d'Ivoire - TRITRAF/2001/2001_Rapport_Annuel_TRITRAF.pdf,2001,2001_Rapport_Annuel_TRITRAF.pdf,application/pdf,1616015,2026-08-09T02:06:13.925Z,2026-03-23T21:19:54Z,https://drive.google.com/file/d/1kcS9ZID7RaWJUrGaYkkC7PE_jdwsEEgI,997cc51c474374327e464a66880a9c9b0ac349ed0afdbbeb70721f6c00bc849d,COMPUTED,,NOT_REVIEWED,,,2001,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1ouFZAL40ikThbtQxgHFa10qChmb7YNUu,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1ouFZAL40ikThbtQxgHFa10qChmb7YNUu,1Mew8_oVgour2vRJmngBluhI-4d2XrVD8,Tritraf Côte d'Ivoire - TRITRAF/2002/2002_Rapport_Annuel_TRITRAF.pdf,2002,2002_Rapport_Annuel_TRITRAF.pdf,application/pdf,12561707,2026-08-09T02:06:05.705Z,2026-03-23T21:19:36Z,https://drive.google.com/file/d/1ouFZAL40ikThbtQxgHFa10qChmb7YNUu,ad951a22a73a086e85e17cab237fa0288f6d2c126f991b1dc9f9a7dae11ea2a8,COMPUTED,,NOT_REVIEWED,,,2002,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:11wJUGF-TUv9789DQ43qjQCXzbGImQ9Br,TRITRAF,Tritraf Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,11wJUGF-TUv9789DQ43qjQCXzbGImQ9Br,1CvROWPZOYvD0H3jR0XIWoeYkJ7ODsp9F,Tritraf Côte d'Ivoire - TRITRAF/2003/2003_Rapport_Annuel_TRITRAF.pdf,2003,2003_Rapport_Annuel_TRITRAF.pdf,application/pdf,11504665,2026-08-09T02:04:39.023Z,2026-03-23T21:19:44Z,https://drive.google.com/file/d/11wJUGF-TUv9789DQ43qjQCXzbGImQ9Br,9a2b0e7f3190789ab40cf58469ea0882a223def4fb6a606ead971e46f0080c2d,COMPUTED,,NOT_REVIEWED,,,2003,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
